id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,property_type,value_score
46256758,Dublin City,53.3466736,-6.263992399999999,Entire home/apt,252.0,1,1879,Entire serviced apartment,7.4563492063492065
14941430,Dublin City,53.35934,-6.25847,Entire home/apt,92.0,1,1122,Entire townhouse,12.195652173913043
46389088,Dublin City,53.348492,-6.230111,Entire home/apt,218.0,1,1097,Entire serviced apartment,5.032110091743119
17688731,Fingal,53.45321,-6.22399,Entire home/apt,100.0,1,980,Entire cabin,9.8
13759408,Dublin City,53.39637,-6.2112,Private room,68.0,1,894,Private room in home,13.147058823529411
5656305,Dublin City,53.36374,-6.25532,Private room,72.0,1,864,Private room in condo,12.0
46389138,Dublin City,53.348492,-6.230111,Entire home/apt,189.0,1,858,Entire serviced apartment,4.5396825396825395
13787166,Dublin City,53.3935,-6.20524,Private room,64.0,1,856,Private room in home,13.375
9730671,Dublin City,53.32183,-6.20942,Entire home/apt,88.0,1,845,Entire rental unit,9.602272727272727
19546574,Dublin City,53.39862,-6.23569,Private room,65.0,1,819,Private room in home,12.6
30462190,Dublin City,53.35778,-6.2599,Shared room,43.0,1,814,Shared room in hostel,18.930232558139537
26388412,Dublin City,53.39857,-6.23599,Private room,55.0,1,801,Private room in home,14.563636363636364
1963074,Dublin City,53.39105,-6.27775,Private room,129.0,1,798,Private room in home,6.186046511627907
3474511,Dublin City,53.33531,-6.26685,Private room,122.0,2,770,Private room in townhouse,6.311475409836065
26157649,Dublin City,53.39805,-6.16385,Entire home/apt,99.0,1,740,Hut,7.474747474747475
14839700,Dublin City,53.33425357860271,-6.237913494302152,Private room,91.0,1,731,Private room in townhouse,8.032967032967033
17742527,Dublin City,53.34536,-6.26536,Entire home/apt,148.0,3,721,Entire condo,4.871621621621622
526767,Dublin City,53.34752,-6.26393,Entire home/apt,211.0,3,712,Entire loft,3.374407582938389
14132419,Dublin City,53.3443233,-6.266278199999999,Entire home/apt,147.0,3,712,Entire condo,4.843537414965986
27804202,Dublin City,53.345718,-6.259776,Private room,241.0,1,695,Room in hotel,2.883817427385892
424596,Dublin City,53.355545,-6.258094,Entire home/apt,161.0,2,679,Entire loft,4.217391304347826
8286998,Dublin City,53.33806,-6.29303,Private room,74.0,2,679,Private room in condo,9.175675675675675
451611,Dublin City,53.3404,-6.27256,Entire home/apt,162.0,1,676,Entire condo,4.172839506172839
654589,Dublin City,53.34493,-6.26688,Entire home/apt,215.0,1,674,Entire condo,3.1348837209302327
28804213,Fingal,53.45366,-6.22557,Entire home/apt,81.0,1,672,Entire guest suite,8.296296296296296
17605506,Dublin City,53.32612839761762,-6.300791278481484,Private room,55.0,1,660,Private room in home,12.0
4963289,Fingal,53.44824,-6.13546,Private room,120.0,1,660,Private room in home,5.5
14422707,Dublin City,53.35,-6.2603,Entire home/apt,291.0,2,652,Entire condo,2.240549828178694
12400367,Dublin City,53.34654021838377,-6.279174996341348,Entire home/apt,212.0,2,645,Entire condo,3.042452830188679
21586580,Fingal,53.4523,-6.19931,Private room,66.0,1,644,Private room,9.757575757575758
427077,Dublin City,53.35572,-6.25803,Entire home/apt,173.0,2,630,Entire loft,3.6416184971098264
17050779,Dublin City,53.3455,-6.2651,Entire home/apt,176.0,3,624,Entire condo,3.5454545454545454
46389301,Dublin City,53.348492,-6.230111,Entire home/apt,365.0,1,614,Entire serviced apartment,1.6821917808219178
32859054,Dublin City,53.36438,-6.27283,Entire home/apt,165.0,1,611,Entire guesthouse,3.703030303030303
11862066,Dublin City,53.33876,-6.23827,Entire home/apt,182.0,2,608,Entire serviced apartment,3.340659340659341
1906221,Dublin City,53.3375883,-6.293536899999999,Private room,116.0,2,605,Private room in condo,5.2155172413793105
30462260,Dn Laoghaire-Rathdown,53.26959,-6.21804,Shared room,43.0,1,601,Shared room in hostel,13.976744186046512
14367732,Dublin City,53.34828,-6.27819,Entire home/apt,187.0,2,593,Entire condo,3.171122994652406
2574203,Dublin City,53.34223,-6.33011,Private room,58.0,2,587,Private room in townhouse,10.120689655172415
7328652,Fingal,53.52612,-6.08637,Entire home/apt,79.0,2,576,Entire guesthouse,7.291139240506329
25915690,Dublin City,53.32812,-6.21944,Entire home/apt,114.0,1,574,Entire rental unit,5.035087719298246
13949954,Fingal,53.39146,-6.1304,Private room,97.0,1,572,Private room in home,5.896907216494846
18514743,Dublin City,53.38461,-6.31635,Entire home/apt,88.0,2,572,Entire guesthouse,6.5
522667,Dublin City,53.355545,-6.258094,Entire home/apt,161.0,2,552,Entire loft,3.4285714285714284
36100357,Fingal,53.49927,-6.11597,Entire home/apt,150.0,1,544,Entire guesthouse,3.6266666666666665
18904305,Dn Laoghaire-Rathdown,53.22229,-6.2234,Entire home/apt,92.0,2,542,Entire guest suite,5.891304347826087
27052436,Fingal,53.37802,-6.39483,Private room,46.0,1,542,Private room in home,11.782608695652174
14256959,Dublin City,53.33496,-6.2207,Entire home/apt,137.0,1,538,Entire guest suite,3.927007299270073
24751014,Fingal,53.44797,-6.23308,Private room,31.0,1,534,Private room in home,17.225806451612904
7132062,Dublin City,53.356247,-6.25852,Entire home/apt,144.0,2,527,Entire loft,3.6597222222222223
